Liste des candidats,Voix,% Inscrits,% Exprimés,Commune
M. Éric ZEMMOUR,26,0.82,1.79,Le Carbet
Mme Nathalie ARTHAUD,22,0.7,1.51,Le Carbet
M. Jean LASSALLE,18,0.57,1.24,Le Carbet
M. Fabien ROUSSEL,8,0.25,0.55,Le Carbet
M. Philippe POUTOU,8,0.25,0.55,Le Carbet
M. Jean-Luc MÉLENCHON,1161,22.11,50.22,Le Diamant
M. Emmanuel MACRON,423,8.06,18.3,Le Diamant
Mme Marine LE PEN,276,5.26,11.94,Le Diamant
M. Éric ZEMMOUR,89,1.7,3.85,Le Diamant
M. Yannick JADOT,88,1.68,3.81,Le Diamant
Mme Valérie PÉCRESSE,85,1.62,3.68,Le Diamant
M. Nicolas DUPONT-AIGNAN,59,1.12,2.55,Le Diamant
Mme Anne HIDALGO,53,1.01,2.29,Le Diamant
M. Jean LASSALLE,31,0.59,1.34,Le Diamant
M. Fabien ROUSSEL,21,0.4,0.91,Le Diamant
Mme Nathalie ARTHAUD,17,0.32,0.74,Le Diamant
M. Philippe POUTOU,9,0.17,0.39,Le Diamant
M. Jean-Luc MÉLENCHON,3333,20.56,52.09,Le François
M. Emmanuel MACRON,901,5.56,14.08,Le François
Mme Marine LE PEN,900,5.55,14.07,Le François
M. Éric ZEMMOUR,429,2.65,6.71,Le François
Mme Valérie PÉCRESSE,272,1.68,4.25,Le François
Mme Anne HIDALGO,140,0.86,2.19,Le François
M. Nicolas DUPONT-AIGNAN,116,0.72,1.81,Le François
Mme Nathalie ARTHAUD,89,0.55,1.39,Le François
M. Yannick JADOT,67,0.41,1.05,Le François
M. Jean LASSALLE,63,0.39,0.98,Le François
M. Philippe POUTOU,59,0.36,0.92,Le François
M. Fabien ROUSSEL,29,0.18,0.45,Le François
M. Jean-Luc MÉLENCHON,6624,24.18,55.59,Le Lamentin
M. Emmanuel MACRON,1737,6.34,14.58,Le Lamentin
Mme Marine LE PEN,1597,5.83,13.4,Le Lamentin
Mme Valérie PÉCRESSE,429,1.57,3.6,Le Lamentin
Mme Anne HIDALGO,386,1.41,3.24,Le Lamentin
M. Nicolas DUPONT-AIGNAN,321,1.17,2.69,Le Lamentin
M. Éric ZEMMOUR,260,0.95,2.18,Le Lamentin
M. Yannick JADOT,172,0.63,1.44,Le Lamentin
Mme Nathalie ARTHAUD,127,0.46,1.07,Le Lamentin
M. Jean LASSALLE,95,0.35,0.8,Le Lamentin
M. Philippe POUTOU,85,0.31,0.71,Le Lamentin
M. Fabien ROUSSEL,83,0.3,0.7,Le Lamentin
M. Jean-Luc MÉLENCHON,1142,17.41,46.8,Le Lorrain
Mme Marine LE PEN,469,7.15,19.22,Le Lorrain
M. Emmanuel MACRON,440,6.71,18.03,Le Lorrain
Mme Valérie PÉCRESSE,96,1.46,3.93,Le Lorrain
Mme Anne HIDALGO,83,1.27,3.4,Le Lorrain
M. Nicolas DUPONT-AIGNAN,58,0.88,2.38,Le Lorrain
Mme Nathalie ARTHAUD,43,0.66,1.76,Le Lorrain
M. Éric ZEMMOUR,29,0.44,1.19,Le Lorrain
M. Jean LASSALLE,27,0.41,1.11,Le Lorrain
M. Philippe POUTOU,23,0.35,0.94,Le Lorrain
M. Yannick JADOT,21,0.32,0.86,Le Lorrain
M. Fabien ROUSSEL,9,0.14,0.37,Le Lorrain
M. Jean-Luc MÉLENCHON,526,16.7,50.14,Le Marigot
M. Emmanuel MACRON,201,6.38,19.16,Le Marigot
Mme Marine LE PEN,169,5.37,16.11,Le Marigot
Mme Valérie PÉCRESSE,52,1.65,4.96,Le Marigot
Mme Anne HIDALGO,28,0.89,2.67,Le Marigot
Mme Nathalie ARTHAUD,17,0.54,1.62,Le Marigot
M. Éric ZEMMOUR,16,0.51,1.53,Le Marigot
